status,prazo,dias_restantes,compatibilidade,score,uf,titulo,salario,vagas,inscricoes,provas_etapas,motivo_relevancia,fonte,link_oficial,link_fonte,primeira_deteccao,ultima_alteracao,notificado_em
ABERTO - ATÉ 30 DIAS,2026-10-04,10,Possível,6,GO,Prefeitura de Uruana - GO abre concurso público para analista ambiental,"R$ 2.500,00","cadastro de reserva, 2 vagas, 145 vagas","A taxa de inscrição é de R$ 150,00, com possibilidade de isenção para candidatos que se declararem e comprovarem hipossuficiência financeira ou que estiverem inscritos no CadÚnico, mediante solicitação até o dia 4 de outubro de 2026.","A taxa de inscrição é de R$ 150,00, com possibilidade de isenção para candidatos que se declararem e comprovarem hipossuficiência financeira ou que estiverem inscritos no CadÚnico, mediante solicitação até o dia 4 de outubro de 2026.","analista ambiental, meio ambiente",PCI Concursos,https://uruana.go.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-uruana-go-abre-concurso-publico-para-analista-ambiental,2026-09-23T23:50:01.202346+00:00,2026-09-23T23:50:01.202346+00:00,2026-09-23T23:50:07.247425+00:00
ABERTO - ATÉ 30 DIAS,2026-10-07,13,Boa,10,,UNESP abre vagas para professores substitutos no campus de São José do Rio Preto,"R$ 2.106,04 a R$ 3.511,90","1 vaga, cadastro de reserva, 100 vagas",As inscrições estarão abertas das 9h do dia 23 de setembro de 2026 às 17h do dia 7 de outubro de 2026 pelo site,,"crbio, pesquisador",PCI Concursos,https://www.unesp.br/,https://www.pciconcursos.com.br/noticias/unesp-abre-vagas-para-professores-substitutos-no-campus-de-sao-jose-do-rio-preto,2026-09-21T17:10:58.181003+00:00,2026-09-21T17:10:58.181003+00:00,2026-09-21T17:11:05.419882+00:00
ABERTO - ATÉ 30 DIAS,2026-10-08,14,Alta,14,MG,"Prefeitura de Ipaba - MG retifica edital de concurso público com salários de até R$ 5.275,34","R$ 5.275,34","34 Oportunidades, 4 vagas, 5 vagas","As inscrições devem ser realizadas de 9 de setembro de 2026, às 9h, até 8 de outubro de 2026, às 16h, exclusivamente pelo site","A seleção será composta por prova objetiva de múltipla escolha para todos os cargos, prevista para o dia 6 de dezembro de 2026.","biólogo, fiscal ambiental, meio ambiente",PCI Concursos,https://www.ibgpconcursos.com.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-ipaba-mg-retifica-edital-de-concurso-publico-com-salarios-de-ate-5275,2026-09-14T01:32:51.154842+00:00,2026-09-23T23:50:01.202386+00:00,2026-09-23T23:50:08.123675+00:00
ABERTO - ATÉ 30 DIAS,2026-10-09,15,Alta,17,MT,"Prefeitura de Canarana - MT abre processo seletivo com salários de até R$ 8.214,61","R$ 8.214,61","61 Oportunidades, cadastro de reserva, 145 vagas","As inscrições poderão ser realizadas entre os dias 1º e 9 de outubro de 2026, até às 17h, por meio dos links descritos no edital.","A seleção será composta por prova objetiva, prevista para o dia 22 de novembro de 2026.","ciências biológicas, analista ambiental, meio ambiente, professor de ciências",PCI Concursos,https://www.canarana.mt.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-canarana-mt-abre-processo-seletivo-com-salarios-de-ate-8214,2026-09-14T01:32:51.154852+00:00,2026-09-23T23:50:01.202423+00:00,2026-09-23T23:50:08.976385+00:00
ABERTO - ATÉ 30 DIAS,2026-10-13,19,Alta,14,SP,UNESP abre concursos para professores substitutos no campus de Assis - SP,"R$ 2.106,04 a R$ 3.511,90","1 vaga, cadastro de reserva, 100 vagas","As inscrições estarão abertas das 0h do dia 28 de setembro de 2026 às 17h do dia 13 de outubro de 2026, pelo site",,"ciências biológicas, zoologia, meio ambiente, pesquisador",PCI Concursos,https://www.unesp.br/,https://www.pciconcursos.com.br/noticias/unesp-abre-concursos-para-professores-substitutos-no-campus-de-assis-sp,2026-09-22T15:39:00.763467+00:00,2026-09-23T23:50:01.202453+00:00,2026-09-23T23:50:09.849236+00:00
ABERTO - ATÉ 30 DIAS,2026-10-13,19,Alta,12,AP,Concurso SESA (AP) abre 4.210 vagas com salário de até R$ 11 mil,R$ 11,"210 vagas, cadastro de reserva, 800 vagas","As inscrições podem ser feitas do dia 14 de setembro ao dia 13 de outubro de 2026, exclusivamente pela internet, no","A prova objetiva está prevista, de forma preliminar, para o dia 20 de dezembro de 2026, e será aplicada obrigatoriamente em","biólogo, ecologia",Concursos no Brasil,https://radiosnobrasil.com/,https://concursosnobrasil.com/concursos/ap/2026/09/11/concurso-sesa-ap-abre-4-210-vagas-com-salario-de-ate-r-11-mil,2026-09-14T01:32:51.154864+00:00,2026-09-14T01:32:51.154864+00:00,2026-09-14T01:33:31.286709+00:00
ABERTO - ATÉ 30 DIAS,2026-10-14,20,Possível,6,MT,SEMA - MT abre concurso para Analistas de Meio Ambiente e de Desenvolvimento Econômico e Social,"R$ 10.491,97","cadastro de reserva, 145 vagas, 60 vagas","As inscrições serão realizadas das 10h do dia 17 de setembro de 2026 às 16h do dia 14 de outubro de 2026, pelo site da Fundação Cesgranrio (",A aplicação das provas está prevista para o dia 13 de dezembro de 2026.,"analista de meio ambiente, meio ambiente",PCI Concursos,https://www.sema.mt.gov.br/,https://www.pciconcursos.com.br/noticias/sema-mt-abre-concurso-para-analistas-de-meio-ambiente-e-de-desenvolvimento-economico-e-social,2026-09-14T01:32:51.154873+00:00,2026-09-24T15:54:59.261249+00:00,2026-09-24T15:55:00.719142+00:00
ABERTO - ATÉ 30 DIAS,2026-10-15,21,Boa,10,CE,SEDUC e SEPLAG - CE abrem concurso público com vagas para professores,"R$ 7.181,41","cadastro de reserva, 86 vagas, 174 vagas","As inscrições poderão ser feitas de 16 de setembro de 2026, a partir das 8h, até 15 de outubro de 2026, às 17h, exclusivamente pelo site","A seleção será realizada em três etapas: provas objetivas (previstas para o dia 22 de novembro de 2026), prova prática e avaliação de títulos.","analista ambiental, meio ambiente, professor de biologia",PCI Concursos,https://www.seduc.ce.gov.br/,https://www.pciconcursos.com.br/noticias/seduc-e-seplag-ce-abrem-concurso-publico-com-vagas-para-professores,2026-09-23T23:50:01.202477+00:00,2026-09-23T23:50:01.202477+00:00,2026-09-23T23:50:10.721357+00:00
ABERTO - ATÉ 30 DIAS,2026-10-20,26,Possível,6,GO,Prefeitura de Heitoraí - GO abre concurso público com vagas para diversas áreas,"R$ 9.383,40","cadastro de reserva, 1 vaga, 4 vagas","As inscrições estarão abertas de 20 de setembro de 2026 a 20 de outubro de 2026, das 10h às 23h59, no site",As provas objetivas estão previstas para o dia 29 de novembro de 2026.,"analista ambiental, meio ambiente",PCI Concursos,https://www.heitorai.go.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-heitorai-go-abre-concurso-publico-com-vagas-para-diversas-areas,2026-09-23T15:33:35.051513+00:00,2026-09-23T15:33:35.051513+00:00,2026-09-23T15:33:38.868615+00:00
ABERTO - ATÉ 30 DIAS,2026-10-21,27,Alta,18,MT,"CRBio-01 - SP, MT e MS abre concurso público com salários de até R$ 7.181,50","R$ 7.181,50","50 Oportunidades, cadastro de reserva, 1 vaga","As inscrições poderão ser realizadas entre 21 de setembro de 2026, às 10h, e 21 de outubro de 2026, às 23h, no site","A seleção será composta por prova objetiva e prova discursiva, ambas de caráter eliminatório e classificatório, previstas para serem aplicadas em 29 de novembro de 2026.","biólogo, crbio, meio ambiente",PCI Concursos,https://www.crbio01.gov.br/,https://www.pciconcursos.com.br/noticias/crbio-01-sp-mt-e-ms-abre-concurso-publico-com-salarios-de-ate-7181,2026-09-22T15:39:00.763483+00:00,2026-09-23T23:50:01.202519+00:00,2026-09-23T23:50:11.570045+00:00
ABERTO - ATÉ 30 DIAS,2026-10-22,28,Alta,12,MT,"Concurso Prefeitura de Comodoro (MT) tem salarios até R$ 23,6 mil",R$ 23,"80 vagas, 212 vagas","A inscrição paga ao concurso público acontecerá no período entre 05 e 22 de outubro de 2026, por meio do",,"crbio, fiscal ambiental",Concursos no Brasil,https://www.concursos.ufmt.br/Portal/,https://concursosnobrasil.com/concursos/mt/2026/09/22/concurso-prefeitura-de-comodoro-mt-abre-novas-vagas-e-tem-mensais-ate-r,2026-09-23T15:33:35.051567+00:00,2026-09-23T15:33:35.051567+00:00,2026-09-23T15:33:39.702365+00:00
ABERTO - ATÉ 30 DIAS,2026-10-22,28,Boa,10,SP,Prefeitura de Itatiba - SP abre seleção para professores,"R$ 5.356,52","cadastro de reserva, CR, 200 vagas","As inscrições serão realizadas de 21 de setembro de 2026 a 22 de outubro de 2026, pelo site do","O processo seletivo será composto por prova objetiva, prevista para o dia 22 de novembro de 2026.","crbio, pesquisador",PCI Concursos,https://www.imais.org.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-itatiba-sp-abre-selecao-para-professores,2026-09-22T15:39:00.763498+00:00,2026-09-22T15:39:00.763498+00:00,2026-09-22T15:39:04.735566+00:00
ABERTO - ATÉ 30 DIAS,2026-10-22,28,Boa,9,MT,"Concurso público em Comodoro (MT) oferece mensais de até R$ 14,4 mil",R$ 23,"cadastro de reserva, 80 vagas","A inscrição paga ao concurso público acontecerá no período entre 05 e 22 de outubro de 2026, por meio do",,crbio,Concursos no Brasil,https://www.concursos.ufmt.br/Portal/,https://concursosnobrasil.com/concursos/mt/2026/09/22/concurso-publico-em-comodoro-mt-oferece-mensais-de-ate-r-144-mil,2026-09-22T23:41:20.271614+00:00,2026-09-23T15:33:35.051592+00:00,2026-09-23T15:33:40.543270+00:00
ABERTO,2026-10-28,34,Boa,9,,UFAL abre editais de seleção para professores substitutos,"R$ 3.198,59 a R$ 8.340,33","9 vagas, 145 vagas, 60 vagas","As inscrições ficam abertas de 7 de outubro de 2026, às 17h, até 28 de outubro de 2026, às 11h, pelo site",,"ecologia, genética, conservação, meio ambiente",PCI Concursos,https://ufal.br/,https://www.pciconcursos.com.br/noticias/ufal-abre-editais-de-selecao-para-professores-substitutos,2026-09-24T15:54:59.261336+00:00,2026-09-24T15:54:59.261336+00:00,2026-09-24T15:55:01.714562+00:00
ABERTO,2026-11-10,47,Alta,12,,Comando do 1º Distrito Naval - RJ/MG abre vagas para oficiais temporários de nível superior,"R$ 7.181,50","1 vaga, 2 vagas, 3 vagas","As inscrições devem ser realizadas entre os dias 18 de setembro de 2026 e 10 de novembro de 2026, pela página do","O processo seletivo contará com as seguintes etapas: prova escrita objetiva (21 de fevereiro de 2027), prova de títulos, verificação de dados biográficos e documental, inspeção de saúde, teste de aptidão física de ingresso e designação à incorporação.","crbio, ecologia, meio ambiente",PCI Concursos,https://www.marinha.mil.br/com1dn/,https://www.pciconcursos.com.br/noticias/comando-do-1-distrito-naval-rj-mg-abre-vagas-para-oficiais-temporarios-de-nivel-superior,2026-09-24T15:54:59.261351+00:00,2026-09-24T15:54:59.261351+00:00,2026-09-24T15:55:02.732950+00:00
ABERTO,2026-11-10,47,Boa,10,AM,Marinha do Brasil - AM e RO abre processo seletivo para Oficiais Temporários de nível superior,"R$ 7.181,50","1 vaga, 2 vagas, 3 vagas","As inscrições devem ser feitas de 18 de setembro de 2026, a partir das 8h, até 10 de novembro de 2026, às 23h59 (horário de Brasília), pelo site",,"crbio, meio ambiente",PCI Concursos,https://www.marinha.mil.br/com9dn/,https://www.pciconcursos.com.br/noticias/marinha-do-brasil-am-e-ro-abre-processo-seletivo-para-oficiais-temporarios-de-nivel-superior,2026-09-24T15:54:59.261386+00:00,2026-09-24T15:54:59.261386+00:00,2026-09-24T15:55:03.717825+00:00
ABERTO,2026-11-10,47,Boa,9,,Marinha abre 2 editais de seletivo com vagas no 6º Distrito Naval,R$ 9,"16 vagas, 807 vagas","O período de inscrição no certame ficará aberto até as 23h59 do dia 10 de novembro de 2026, de acordo com o horário oficial de","A prova está prevista para ser aplicada no dia 21 de fevereiro de 2027, com duração de três horas.",crbio,Concursos no Brasil,https://www.marinha.mil.br/com6dn/SMV_Oficiais,https://concursosnobrasil.com/concursos/ms/2026/09/21/marinha-abre-2-editais-de-seletivo-com-vagas-no-6o-distrito-naval,2026-09-21T17:10:58.181054+00:00,2026-09-21T17:10:58.181054+00:00,2026-09-21T17:11:06.341084+00:00
ABERTO,2026-11-17,54,Boa,11,MG,"Prefeitura de Contagem - MG abre concurso público com salários de até R$ 13.305,57","R$ 13.305,57","57 Oportunidade, 150 vagas, 20 vagas","As inscrições devem ser realizadas entre 19 de outubro de 2026, às 9h, e 17 de novembro de 2026, às 16h, pelo site","A seleção será composta por prova objetiva para todos os cargos, prevista para o dia 24 de janeiro de 2027, em Contagem/MG, podendo ocorrer também em cidades vizinhas caso necessário.","biólogo, meio ambiente",PCI Concursos,https://www.ibgpconcursos.com.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-contagem-mg-abre-concurso-publico-com-salarios-de-ate-13305,2026-09-14T01:32:51.154885+00:00,2026-09-23T23:50:01.202540+00:00,2026-09-23T23:50:12.428570+00:00
ABERTO,2026-11-25,62,Possível,6,GO,"Prefeitura de São Luís de Montes Belos - GO abre concurso público com salários de até R$ 5.559,33","R$ 5.559,33","33 Oportunidades, cadastro de reserva, 2 vagas","As inscrições estarão abertas de 26 de outubro de 2026 a 25 de novembro de 2026, pelo site",As provas objetivas e de redação estão previstas para o dia 24 de janeiro de 2027.,"analista ambiental, meio ambiente",PCI Concursos,https://www.saoluisdemontesbelos.go.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-sao-luis-de-montes-belos-go-abre-concurso-publico-com-salarios-de-ate-5559,2026-09-23T23:50:01.202559+00:00,2026-09-23T23:50:01.202559+00:00,2026-09-23T23:50:13.298100+00:00
ABERTO,2026-11-29,66,Boa,10,PR,Concurso Prefeitura de Nova Tebas (PR) abre 37 vagas em edital,R$ 18,"37 vagas, cadastro reserva, 800 vagas","Os inscritos neste concurso público serão avaliados por meio de provas objetivas, de caráter classificatório e eliminatório, previstas para serem aplicadas em 29 de novembro de 2026.","Os inscritos neste concurso público serão avaliados por meio de provas objetivas, de caráter classificatório e eliminatório, previstas para serem aplicadas em 29 de novembro de 2026.",biólogo,Concursos no Brasil,https://main.institutounifil.com.br/concurso/196,https://concursosnobrasil.com/concursos/pr/2026/09/11/concurso-prefeitura-de-nova-tebas-pr-abre-37-vagas-em-edital,2026-09-14T01:32:51.154894+00:00,2026-09-14T01:32:51.154894+00:00,
ABERTO,2026-12-04,71,Boa,10,SP,"SETEC Campinas - SP abre concurso público com salários de até R$ 10.428,05","R$ 10.428,05","05 Oportunidades, cadastro de reserva, 6 vagas","As inscrições estarão abertas de 8 de setembro de 2026 a 4 de dezembro de 2026, pelo site",As provas objetivas estão previstas para 17 de janeiro de 2027.,"crbio, pesquisador",PCI Concursos,https://setec.sp.gov.br/https:/setec.sp.gov.br/,https://www.pciconcursos.com.br/noticias/setec-campinas-sp-abre-concurso-publico-com-salarios-de-ate-10428,2026-09-21T17:10:58.181076+00:00,2026-09-21T17:10:58.181076+00:00,2026-09-21T17:11:07.238400+00:00
ABERTO,2026-12-14,81,Boa,10,,USP abre concursos públicos para professores titulares em diversas áreas de atuação,"R$ 24.309,11","1 vaga, cadastro de reserva, 100 vagas","As inscrições poderão ser realizadas das 8h do dia 17 de junho de 2026 até às 16h do dia 14 de dezembro de 2026, exclusivamente pelo site",,"crbio, pesquisador",PCI Concursos,https://www5.usp.br/,https://www.pciconcursos.com.br/noticias/usp-abre-concursos-publicos-para-professores-titulares-em-diversas-areas-de-atuacao,2026-09-21T17:10:58.181086+00:00,2026-09-21T17:10:58.181086+00:00,2026-09-21T17:11:08.147946+00:00
SEM PRAZO,,,Alta,22,MT,Prefeitura de Água Boa - MT abre processo seletivo para cadastro de reserva,"R$ 9.893,08","cadastro de reserva, 145 vagas, 60 vagas",As inscrições devem ser realizadas pelo site,"A seleção será composta por prova objetiva de conhecimentos específicos para todos os cargos, prevista para o dia 15 de novembro de 2026.","biólogo, ciências biológicas, meio ambiente, professor de ciências",PCI Concursos,https://www.aguaboa.mt.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-agua-boa-mt-abre-processo-seletivo-para-cadastro-de-reserva,2026-09-18T15:07:23.693485+00:00,2026-09-23T23:50:01.202577+00:00,2026-09-23T23:50:14.145949+00:00
SEM PRAZO,,,Alta,17,RS,"Prefeitura de Alvorada - RS retifica concurso público com salários de até R$ 18.974,55","R$ 18.974,55","55 Oportunidades, cadastro de reserva, CR","Foram feitas retificações relativas ao prazo de inscrição e à formação exigida para os cargos de Professor de Educação Especial - Deficiência Auditiva, Professor de Educação Especial - Deficiência Intelectual e Professor de Educação Especial - Deficiência Visual.","A seleção compreenderá prova teórico-objetiva para todos os cargos, com aplicação prevista para 29 de novembro de 2026.","biólogo, fiscal ambiental, meio ambiente, professor de ciências",PCI Concursos,https://www.institutolegalle.org.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-alvorada-rs-retifica-concurso-publico-com-salarios-de-ate-18974,2026-09-22T15:39:00.763637+00:00,2026-09-23T23:50:01.202600+00:00,2026-09-23T23:50:15.003827+00:00
SEM PRAZO,,,Alta,16,CE,Prefeitura de Jaguaribe - CE abre concursos públicos com vagas imediatas e cadastro de reserva,"R$ 12.948,01","cadastro de reserva, 2 vagas, CR","Prefeitura de Paracatu - MG prorroga inscrições do concurso público com salários de até R$ 9.600,00","A seleção será composta por prova objetiva para todos os cargos, a ser realizada no dia 29 de novembro de 2026.","ciências biológicas, fiscal ambiental, professor de ciências",PCI Concursos,https://www.jaguaribe.ce.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-jaguaribe-ce-abre-concursos-publicos-com-vagas-imediatas-e-cadastro-de-reserva,2026-09-14T01:32:51.154903+00:00,2026-09-14T01:32:51.154903+00:00,
SEM PRAZO,,,Alta,15,CE,Concurso Prefeitura de Tamboril (CE) prevê salários de R$ 5 mil,R$ 5,"cadastro reserva, 800 vagas, 22 vagas",Período de inscrição,"O edital informa que serão aplicadas duas etapas de classificação, começando por uma prova objetiva de múltipla escolha.","graduação em biologia, analista ambiental, gestão ambiental",Concursos no Brasil,https://consulpam.com.br/index.php?menu=concursos&acao=ver&id=884,https://concursosnobrasil.com/concursos/ce/2026/09/23/concurso-prefeitura-de-tamboril-ce-preve-salarios-de-r-5-mil,2026-09-23T23:50:01.202618+00:00,2026-09-23T23:50:01.202618+00:00,2026-09-23T23:50:15.873420+00:00
SEM PRAZO,,,Alta,13,SC,Concurso IMA (SC) está confirmado e será organizado pela FURB,R$ 2,"38 vagas, 30 vagas",,"do resultado final, incluindo a aplicação de provas objetivas e a avaliação de títulos).","biólogo, gestão ambiental, meio ambiente, recursos naturais",Concursos no Brasil,https://www.ima.sc.gov.br/,https://concursosnobrasil.com/concursos/sc/2026/09/24/concurso-ima-sc-esta-confirmado-e-sera-organizado-pela-furb,2026-09-24T15:54:59.261487+00:00,2026-09-24T23:56:52.203580+00:00,2026-09-24T23:56:53.347848+00:00
SEM PRAZO,,,Alta,12,SP,Fundação Santo André - SP abre concurso público para o cargo de Professor Colaborador Nível I,"R$ 42,48","10 vagas, cadastro de reserva, 100 vagas","As inscrições deverão ser realizadas exclusivamente via internet, no endereço","A seleção será composta por prova objetiva (28 de outubro de 2026), prova didática e prova de títulos.","ciências biológicas, meio ambiente, pesquisador",PCI Concursos,https://fsainscricao.crmeducacional.com/login/122026,https://www.pciconcursos.com.br/noticias/fundacao-santo-andre-sp-abre-concurso-publico-para-o-cargo-de-professor-colaborador-nivel-i,2026-09-14T01:32:51.154925+00:00,2026-09-23T23:50:01.202657+00:00,2026-09-23T23:50:16.739206+00:00
SEM PRAZO,,,Alta,12,SP,"Prefeitura de Cabreúva - SP abre concurso público com salários de até R$ 11.735,45","R$ 11.735,45","45 Oportunidades, cadastro de reserva, 1 vaga",As inscrições devem ser feitas exclusivamente pelo site,"A seleção ocorrerá por meio de prova objetiva para todos os cargos, prevista para o dia 20 de dezembro de 2026.","biólogo, meio ambiente, pesquisador",PCI Concursos,https://cabreuva.sp.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-cabreuva-sp-abre-concurso-publico-com-salarios-de-ate-11735,2026-09-14T01:32:51.154935+00:00,2026-09-23T23:50:01.202680+00:00,2026-09-23T23:50:17.611218+00:00
